Nom,Pochette,Statut,Auteur,Genre,Durée,Durée d'écoute,Synopsis,Note,Site,Langue,Dernier épisode,MP3,Website,Youtube,RSS,Soundcloud,Spotify,Discord,Récompense,Citation,Recommandation,Bande-annonce,NSI 2022,NSI 2023,Message Insta,Auteurs,Listen Notes,Note Apple
"""L'homme qui rit"" d'Antonio Negri",,Terminé,"Blandine Masson,France Culture",Historique,1:24,1 h 24 min,"""L’Homme
 qui rit"" s’interroge particulièrement sur le monde contemporain, en 
prenant pour contexte un événement qui bouleversa l'histoire italienne :
 l'enlèvement et l'assassinat d'Aldo Moro, secrétaire de la Démocratie 
Chrétienne, en 1978.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/l-homme-qui-rit-de-antonio-negri-1-3-5991457,Français,11/2/2024,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/l-homme-qui-rit-de-antonio-negri-1-3-5991457,,,,,,,,,,,,,"Blandine Masson, France Culture",,
"""L'Île mystérieuse"" de Jules Verne",mysterieuse.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/hV3VJ7HMSRY0hogazgW70g/-zKp2d10wL7osPUN3H2V6kJMeLPHNcmZiw3oj18bnh-Z_2W4gqwxKbJVNAvtXzT2-otlZT3VsbHI4ag7qIoXr_2vLC0m4oU8mOqBc1-8CSIoXC3yMHVlXPG3F1upG5LkMuPxK9iAwT0txt6dOBwY_g/Looep3SblrcGWJ3Bn2gtCbaorPauiXG7eX1nB0OR9OM),Terminé,"Stéphane Michaka,France Culture","Science-Fiction,Licence,Historique",1:10,1 h 10 min,"États-Unis, 1865. En pleine guerre de Sécession, quatre Nordistes s'évadent en ballon de la ville de Richmond, capitale la Confédération sudiste. L'ingénieur Cyrus Smith, le journaliste Gédéon Spilett, le jeune Harbert Brown, et Nab, un soldat de l'Union, sont pris dans une tempête qui les fait échouer sur une île du Pacifique. Privés de tout, ces naufragés de l'air doivent assurer leur survie. L'ingéniosité de Cyrus et les ressources de ses compagnons s'allient à merveille. Mais des incidents étranges se succèdent. Une présence mystérieuse semble les épier, guettant la moindre occasion pour leur venir en aide... L'île Lincoln devient alors le théâtre d'une confrontation entre interventions miraculeuses et explications rationnelles. Au siècle de la science et du progrès, de qui la Providence est-elle le nom ?",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/concert-fiction-l-ile-mysterieuse-de-jules-verne-1585477,Français,,checked,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/concert-fiction-l-ile-mysterieuse-de-jules-verne-1585477,,,,,,,,,,,,,"Stéphane Michaka, France Culture",,
"""La Division"" d'Emmanuel Suarez",division.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/bR75rmfmc_WOhs7wX3l4CQ/OApuMGtbaGta1jNdWY9ifoZsSGI4AHmnQM7ACFs8ma5ZOhm5fBAs6BcS0dBeYfBJh8cavhOU6cWtYgH3hGbKfFrYJlusZTRrfuoiNHjtM1-qX5C069XDpH4k9SkU1MkGOUzi399YsvcZ469tEhZlKQ/0tUzb-gIFnCWBtRNrZMl2xWdEdtsnICX5kS-xbPdXdc),Terminé,"Sophie-Aude Picon,France Culture","Historique,Thriller",,Non définie,"1995. Claire Praslin, jeune historienne spécialiste de la Seconde Guerre mondiale, voit son projet de thèse sur la Division Charlemagne s’écrouler soudainement. Les deux seuls survivants de ce régiment de Français ayant rejoint les SS en 1944 qui ont accepté de témoigner pour ses recherches, meurent à quelques semaines d’intervalle dans des conditions troublantes. Peu après, Claire est contactée par Thérèse Demongeot, morvandelle de soixante-dix ans, qui affirme qu’un vétéran des nazis français vit encore. Il s’agit de son propre frère, Bertrand, dont elle est convaincue qu’il se cache encore quelque part en Europe. La jeune historienne se lance alors dans une étrange chasse à l’homme et poursuit le fantôme depuis les derniers mois de la seconde guerre mondiale jusque dans une Europe de l’Est en pleine mutation après la chute du mur. Au fil de ses rencontres, elle découvre des secrets sur la “libération de l’Europe” et s’interroge sur les raisons profondes qui l’ont menée dans cette quête.",,https://www.radiofrance.fr/franceculture/podcasts/serie-la-division-d-emmanuel-suarez,Français,20/11/2020,,https://www.radiofrance.fr/franceculture/podcasts/serie-la-division-d-emmanuel-suarez,,,,,,,,,,,,,"Sophie-Aude Picon, France Culture",,
"""La Promenade des envahisseurs"" de Tomohiro Maekawa ",,Terminé,Pascal Deux,"Tranche-de-vie,Théâtre",0:56,56 min,"L’histoire
 se déroule dans une petite ville portuaire donnant sur la mer du Japon.
 Elle décrit la perplexité d’une femme faisant face à son mari qui, 
après avoir disparu plusieurs jours, revient complètement transformé, 
innocent et candide tel un enfant.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/la-promenade-des-envahisseurs-de-tomohiro-maekawa-8205225,Français,18/5/2019,,https://www.radiofrance.fr/franceculture/podcasts/fictions-samedi-noir/la-promenade-des-envahisseurs-de-tomohiro-maekawa-8205225,,,,,,,,,,,,,Pascal Deux,,
"""La Tour"" de Benoît Peeters et François Schuiten",tour.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/Mpr06zWYTd2EUnDQ-Mdeog/knEZxhj-WHoNAZHw4vN9FBB_yAd-jf_OGO5l4OTG8rmB2yO78bqekV4gTCjSr0uW8kKUE60Lynb6nFsqVkXy7UeUGN9LtuHW5-CJA0qOz9PvsWYGirGmaPedHG6lyz_j4fwLQpkLzz-2HZKppMyGBQ/2DtmCs7mhQEsQzdlDfmv7H4MQZTCsxdyd-juSV0ZuVk),Terminé,"Laure Egoroff,France Culture","Licence,Fantastique",1:08,1 h 8 min,"Giovanni Battista est l’un des innombrables gardiens d’une tour immense, sans limites connues, dont les autorités semblent avoir oublié jusqu’à l’existence. Las d’attendre la visite de l’Inspecteur, Giovanni décide de partir à sa recherche.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/la-tour-de-benoit-peeters-et-francois-schuiten-4912814,Français,11/2/2018,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/la-tour-de-benoit-peeters-et-francois-schuiten-4912814,,,,,,,,,,,,,"Laure Egoroff, France Culture",,
"""Le complexe de l'Hippocampe"" de Guillaume Adler",hippocampe.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/SqNYj-gVKsRZyBJ1bfW_Mw/V4WLxeXkdyLXfwKkBThaGk2Y96z1j7O4vDyDrKS61lBooPpVhm1GLh8Rwe6xOp7RTJT6rPEFXDhsbB9fJOZtbQVJIaQG7Azv-g3yjvYhEa5vC1cUE17H786daVpU603OqxYs4aHqbhTNZbQ8kgys8w/K0J8-cPW6Biv1ljsnL8IAkB1cmoDNfvrjkhpJlvilQg),Terminé,"Sophie-Aude Picon,France Culture",Fantastique,,Non définie,"Le complexe de l’hippocampe est une comédie familiale dans laquelle un père au foyer attachant et dépressif est harcelé dans sa vie quotidienne par le fantôme de son analyste, mort sous ses yeux, qui veut, par tous les moyens, le sauver de lui-même.",,https://www.radiofrance.fr/franceculture/podcasts/serie-le-complexe-de-l-hippocampe-de-guillaume-adler,Français,18/10/2019,,https://www.radiofrance.fr/franceculture/podcasts/serie-le-complexe-de-l-hippocampe-de-guillaume-adler,,,,,,,,,,,,,"Sophie-Aude Picon, France Culture",,
"""Le Daguet"" de Nicole Caligaris",,Terminé,"Juliette Heymann,France Culture",Ambiance,0:33,33 min,"Le couple plus âgé et le jeune couple. Ils n'ont ni faim ni froid, après leur voyage, ne savent pas trop ce qui s'est passé sur la route et encore moins ce que veut, de l'autre côté de la fenêtre, l'apparition qui semble s'approcher du chalet sans bouger. Un adolescent. Ma parole, il a l'air dans un drôle d'état.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/le-daguet-de-nicole-caligaris-7188495,Français,22/10/2023,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/le-daguet-de-nicole-caligaris-7188495,,,,,,,,,,,,,"Juliette Heymann, France Culture",,
"""Le Rosaire des voluptés épineuses"" de Stanislas Rodanski",,Terminé,Pascal Deux,Fantastique,0:56,56 min,"Dans
 cette fiction en forme d’énigme et à la langue somptueuse, un homme 
parle et on l’écoute raconter d’étranges jeux de miroirs, et sa 
rencontre avec la Dame du Lac, double de la Mort et de la folie… !",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/le-rosaire-des-voluptes-epineuses-de-stanislas-rodanski-3318900,Français,7/11/2021,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/le-rosaire-des-voluptes-epineuses-de-stanislas-rodanski-3318900,,,,,,,,,,,,,Pascal Deux,,
"""Les glaciers grondants"" de David Lescot",,Terminé,"David Lescot,Sabine Zovighian,France Culture",Policier,1:07,1 h 7 min,"À l’occasion d’une conférence internationale sur le climat, un écrivain doit écrire un article exposant son point de vue sur les dérèglements climatiques. Comme il n’y connaît rien, il se lance dans une enquête, qui devient une quête, presque une passion.",,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/les-glaciers-grondants-de-david-lescot-9514877,Français,,,https://www.radiofrance.fr/franceculture/podcasts/fictions-theatre-et-cie/les-glaciers-grondants-de-david-lescot-9514877,,,,,,,,,,,,,"David Lescot, Sabine Zovighian, France Culture",,
"""Les Hauts de Hurlevent"" d'Emily Brontë",hurlevent.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/XrD1DDxnUYmXCXRgEn1LmQ/Q54aIlISw_-IzgKHSar58bfh8BCVm3zZCpi6Ohp5Pe2LkAYvov6OyzxzXNXtvADOd3Ef-eeONyNcw1gGMboiLG6tin-3uRxRfDqaUmcMfLIbJlTWIuGm_t852qRH20FojfyR1KffO_EHn3JdzKisYA/88hrgroIpmAPrOMvJ29XptKZ312rr3qUW-V_PYF5co8),Terminé,"Juliette Heymann,France Culture",Licence,4:44,4 h 44 min,"Les Hauts de Hurlevent  -  Wuthering Heights - sont des terres situées au sommet d’une colline et balayées par les vents du nord. Dans une ferme isolée, M. Earnshaw y a recueilli un petit sauvageon, Heathcliff, pour l'élever comme l'un des siens. Violemment rejeté par Hindley, le fils aîné, Heathcliff noue une amitié fusionnelle avec sa sœur d'adoption, la farouche Catherine. Ils parlent peu, s'évadent dans la lande dès qu'une porte s'ouvre, en reviennent crottés et complices. Heathcliff se fait rosser, Catherine pleure. Le lendemain, ils recommencent. Mais à la mort d'Earnshaw, Hindley peut enfin laisser sa haine s'abattre sur Heathcliff : le destin des deux enfants vacille alors... C’est le poids de ce destin qu’Emily Brontë a imaginé dans son unique roman publié en 1847 sous le pseudonyme d’Ellis Bell. Juste un an avant sa mort, à tout juste trente ans.",,https://www.radiofrance.fr/franceculture/podcasts/serie-les-hauts-de-hurlevent-de-emilie-bronte,Français,,checked,https://www.radiofrance.fr/franceculture/podcasts/serie-les-hauts-de-hurlevent-de-emilie-bronte,,,,,,,,,,,,,"Juliette Heymann, France Culture",,
