Nom,Pochette,Statut,Auteur,Genre,Durée,Durée d'écoute,Synopsis,Note,Site,Langue,Dernier épisode,MP3,Website,Youtube,RSS,Soundcloud,Spotify,Discord,Récompense,Citation,Recommandation,Bande-annonce,NSI 2022,NSI 2023,Message Insta,Auteurs,Listen Notes,Note Apple
Clinique de la mémoire morte,clinique.png (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/AaClBrtGABSDmgecYhYxaw/hsqglZdeNkftNcHpYUobQsKqiFngxnH17q018f0HybzdWnPL24p4X4LSgdgSmYK71wC1-iuZeV6MB7mUkRabYbPF4ciqNDBlaPGUafvjRhWiEl9zkas8MLOuHlwZd_PjVXRiggusXjKh_tw_1cUKbg/OuiIqLXDEIoVae-_DkCp58MHUNm7gzSMGYCI63qogSw),Terminé,Sebastian Dicenaire,Science-Fiction,1:10,1 h 10 min,"Finis les trous de mémoire, les souvenirs approximatifs, les leçons apprises en classe et tout aussi vite oubliées ! Désormais, tout le monde se souvient de tout, grâce à la technologie mise au point par l’entreprise Mnémosan. Hippolyte Polycarpe est un des employés qui travaille à la « Clinique de la Mémoire Morte » : chaque jour, il réimplante les souvenirs de ses patients présentant des problèmes de mémoire. Assidu et passionné, il va pourtant franchir la ligne rouge lorsqu’un cas désespéré se présente à la Clinique.",,https://www.radiola.be/serie/clinique-de-la-memoire-morte/,Français,,checked,https://www.radiola.be/serie/clinique-de-la-memoire-morte/,,,,,,,,,,,,,Sebastian Dicenaire,,
Club Citrouillade,1657469128536-c259919f1c63b0f7b155f3b95d92388b.jpeg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/iaAD5FYhh2lMn4Yhvcv4ag/ZyuUa-LbEt4-7N_KOx9ynjXCGVMFJHe4bPjqFDGbA5-YtepzHZAWv-BMRwLTw-uk9bmUkOQJ-TRq0gNLxl8YjNPXUD6dRQK2je5FhlIKlLjxJWiVtINhOV7lUMXh_1MFB6WGOYDxxBsa1Dcjs8ZinFoYX7Sr1THSMZiChs9xqursqMfRvNBVQglZtX2TYaDE/XR45ZuJr3_MhVCVp6-7oPCcrSGKkmVc63VfzYHQMQ7U),En cours,Romain Baousson,"Enfant,Musical,Fantasy",2:29,2 h 29 min,"Chaque semaine, partons à l'aventure avec le Club Citrouillade, une bande de copains et de copines qui jouent, s'amusent, se challengent, s'entraident, sans jamais se disputer !  Il y a Vean-Pierre le vampire, Pacôme le fantôme, Momo la momie, Médusa, qui a des cheveux en serpents, Edmond le streumon, Zowie la zombie, Lou le loup-garou, dont les parents sont éco-loups.",,https://shows.acast.com/club-citrouillade,Français,14/9/2022,checked,https://www.slate.fr/audio/club-citrouillade/,,https://feeds.acast.com/public/shows/club-citrouillade,,https://open.spotify.com/show/6ePvPp9TQ6AymeNdE8xm1y,,,,Zeni1,,,,,Romain Baousson,,
Clyde Vanilla,clyde.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/_C9GGJgkGk4huX0Ff-GpBQ/-mF-BxP7s6VXqYUeHCS6BQbqNsA0d7IeVkgZbBOpKg5BeuJy_yoUFWubVZPiv-KBSdZort896KoDvZP6HDvkHWhgpFfwjDONVmmIC40H1XS3bhpmFzsdmaMo9wUY64wL5YcJXGDMKoU6v1Hk7-SBRQ/WbGLjbuNQwHSQM7PYWMDYgp3an1OMK44dXQTOBHBvsI),Terminé,"Wendöh,Antoine Daniel","Science-Fiction,Humour",3:11,3 h 11 min,"Clyde Vanilla est une fiction audio humoristique de science fiction que j'aime personnellement qualifier de ""Dessin Animé Audio"" à cause de l'ambiance, des voix et de la d.a, même si ça veut rien dire du tout.",5,https://podcloud.fr/podcast/clydevanilla,Français,19/11/2017,checked,https://podcloud.fr/podcast/clydevanilla,https://www.youtube.com/playlist?list=PLmnpJZxBm1ybcX3go6l5YlWGLKGDzijlz,https://clydevanilla.lepodcast.fr/rss,,,checked,,"Clyde:Oh mais vous voulez dire que c'était la culotte sale de la princesse Dragonita ?

Branlouis:À l'instar d'un tournesol se tournant vers le soleil, ma sainte baguette de plaisir se tourne vers son propre astre solaire.

Brodog:Ah, parce que je suis rose, c'est que je suis homosexuel ? Donc vous êtes homophobe ?

?:Clyde, triple trou de balle !

Clyde:Allez-y Archiford, aspirez les boules.","Zeni1,20",,,,,"Wendöh, Antoine Daniel",,
Cockpit,cockpit.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/WufyAnv6pyxz-TPKzNyDYA/gKHslOhD3ITajgIeIlvyrQAFlKeb7R1iUsDdDPbm3hZdpO6G_T0ABS9cvSGAnHV03n52rvAi1NRBBlwWJCGRrWngE6ULghnt5LFOMR6VVj-GDm7x11cAgwHN6xYNlxzivK7lGewaTLEPkvbokuKBLA/0C4P1CWetjW16DM85iJLgGyUSE6elA6L2GI-n0AClH0),Terminé,ALTacchino,"Science-Fiction,Humour",0:46,46 min,"C’est l’épopée de Voltaire et Platini jusqu’au fin fond de l’univers. La quête de deux Space Patrouilleurs, prêts à tout pour retrouver une légitimité au sein de la prestigieuse Flotte Universelle. Pour cela, ils vont devoir sortir des radars et prendre un maximum de risques. ",,https://cockpitlaserie.lepodcast.fr/,Français,2/3/2022,checked,https://cockpitlaserie.lepodcast.fr/,https://www.youtube.com/user/TacchinoOfficiel,https://cockpitlaserie.lepodcast.fr/rss,,https://open.spotify.com/show/5NvTyHsp0khR2pQylNoFB9,,,"Sasa:Une bonne insulte, ça rentre par la bouche, ça sort par la nuque. Il faut transpercer son adversaire.","TJP2022,TJP,Zeni1,20",,,2. À noter,,ALTacchino,,
Cœur d’aubergine,aubergine.jpeg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/D_VusCrwAYdoKpBRBWU0Fw/NiEBAHNHh4yRnMFVbbmT80lw0eqxshwRO2Z979TA12kChwgEjoaIsHgp404rpGP2D59SAfnJ9eE3cSvSDCC7wRphqCgSNFQ7b_FvUCYU1KooUfG8nPncrPwgB1AxMCLDxbDsKEw8bLgGW22sGqQ2UQ/_f6U2GbYRnZckW9GJ-mQafwfHVD-gtChM2rirUMdz9Y),Terminé,Clément Braive,Érotisme,0:43,43 min,"Clément, trente-neuf ans, célibataire, cherche la rencontre qui va changer sa vie. Armé de son seul smartphone, il se prête au jeu de la drague et de la séduction en ligne. Bienvenue à bord de ce kaléidoscope sonore pour un voyage au centre de Grindr, un documentaire autobiographique où Clément Braive pose un regard sur sa génération et questionne le célibat et le désir.",,https://www.radiola.be/productions/coeur-daubergine/,Français,,checked,https://www.radiola.be/productions/coeur-daubergine/,,,,,,,,,,,,,Clément Braive,,
Colette se confesse,colette.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/8auJfEOOAmkDLT-od1HhxQ/D4DSAYWtC2nyBjlo2f0ETXcUmRmTU7pn-BRaNNN5cAoqkUUwGcIIFSYTd7ADxvb-Pjom4G5TIvmvJwhkUndNGaYEJEXsyBTjWGmBFrKqtdyIEPzCq6vZp8BYeS2I3ibVypAZQLhtGD2mnoQmW_e4KQ/GY39Lo56lpKk-CluEsKzhjrkMv_ljNr7T6ktdWg_HGw),En cours,"Colette William,Podcut",Érotisme,0:00,Non définie,"Podcast érotique, sensuel, drôle sur fond d'histoires vraies. Lieux insolites, dans mon lit, anecdotes... En toute intimité, Colette confesse ses envies et fantasmes les plus sexy.",,https://podcast.ausha.co/colette-se-confesse,Français,,checked,www.coletteseconfesse.fr,https://www.youtube.com/channel/UCVYbUWrQL8SKW2Fig1tOkGA,https://feed.ausha.co/JyeJtzNwkdpb,https://soundcloud.com/coletteseconfesse,https://open.spotify.com/show/4THmdhYNd06YxZIckan8jE,,,,,,,,,"Colette William, Podcut",,
Comment faire disparaître une ombre,une-ombre.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/o5loa1XigNZxuloftm4VBg/GWLelkOe9S0rYS0ZFlbPM_dMDhnBWjoPT86AWm8yyGCiQwHdG7rEt-rauXd4jOJD6QRGUQ-5KGl616OKaDqpWRRjhdTFOcCAiT7pU6lqWQWVrSW60RyY50XBVtxscb-ILrZupQRIAh_8LlgTLBwOCQ/_TjM1n5TRP0snOWQM6q67a2utASA567BeuQt4uKz7pU),Terminé,"Pierre Senges,France Culture","Théâtre,Historique",0:59,59 min,"Voici une fable écrite d’après une histoire fausse, enfin pas tout à fait fausse puisqu’on y trouve Madame de Sévigné, Molière, Armande et Madeleine Béjart, et quelques autres figures historiques. Seulement, il a fallu donner à chacun une place différente et tricher avec la chronologie.",5,https://www.franceculture.fr/emissions/fictions-samedi-noir/comment-faire-disparaitre-une-ombre-de-pierre-senges,Français,,checked,https://www.franceculture.fr/emissions/fictions-samedi-noir/comment-faire-disparaitre-une-ombre-de-pierre-senges,,,,,,,,,,,,,"Pierre Senges, France Culture",,
Conf Call,conf-call.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/Eqv2MYwkXCQZUV8WYlqDkQ/3SVjM9y3NRxOi6k_vXBdTX17p6q5np58c137VsxihnBHkZ6zNJnRwCapCH9iCNpq_dpK3i350EoD9sgH1c_WbKqHnXLb0Lu9pLQRzSrjdzhFcVqGp9DMcVa1xyzBw_1M0Lewt7QIfweqrgQ18Ikmpg/uBNCQQh6YIO0xnalvIxLGQ6QX2FFcJgUIb-sIBzdcwk),Terminé,"Ambre Larrazet,Sébastien Chassagne,Léopold Lemarchand,Géraldine de Margerie,Paradiso",Humour,,Non définie,"Baptiste, Flora et Nico sont trois serial entrepreneurs prêts à tout pour devenir multimillionnaires : ruche domestique de combat anti cambriolage, podcasts pour enfants de droite, escape game pour timides maladifs... la règle d'or dans un brain storming, c'est qu'il n'y jamais de mauvaise idée !",,https://www.deezer.com/fr/show/1195352,Français,,,https://www.deezer.com/fr/show/1195352,,,,,,,,,,,,,"Ambre Larrazet, Sébastien Chassagne, Léopold Lemarchand, Géraldine de Margerie, Paradiso",,
Construire un Feu - d’après Jack London,feu.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/e3Nw1biAoHSH8kK0Uxd9Dw/KI7ydCX-PtYCir_dbEz9YZxr6iM3Ty_PQJPLbuQI_9rfLmjxMHhx5xewok6TlJrSPB3-cZjyNyBJWcCbIS6CDiN1wZLse-VMDRWhvYjd5_3VjjbYD_HOYK8uV7sZDgpdYGyM04KXfsnvAeAEVkqn0Q/1ybEI4a00a1rW5YUeU_CfseEf2WYeS-_Mu5B853Py-g),Terminé,"Octave Broutard,France Culture",Ambiance,0:59,59 min,"Un homme marche dans la neige, dans une solitude extrême. Pour survivre, l’homme entreprend de construire un feu. Une adaptation libre par Octave Broutard de la nouvelle ""To Build A Fire"" de Jack London pour vivre l’expérience du froid. Avec Richard Bohringer et Sarah Lefèvre.",,https://www.radiofrance.fr/franceculture/podcasts/l-experience/construire-un-feu-5519506,Français,,,https://www.radiofrance.fr/franceculture/podcasts/l-experience/construire-un-feu-5519506,,,,,,,,,,,,,"Octave Broutard, France Culture",,
Contes de Noël 2022,noel.jpeg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/3VJzBMObJBaHlRonEFPYZg/bb_szJnB6tIgoJ91s40VM9ycqz5Zv-_9cvv0UMRN5FqQrlx3agP3VEqEwcwQm8voRAkIhbP3PclRuQJ_ZBcodonA2wLZEEzYVMjCqWJkcc_MndqQ-8Cpm5rUUUcwiAp_JZ8jNc3EWzzX33ZJw6z8dA/Na8e3HqrLeSCzeE3A9wsL82_3H1BcysvR4G6hIwN9g8),En cours,"Apprentis d'Auteuil,Laura Demmerlé",Enfant,,Non définie,Apprentis d’Auteuil vous offre 24 contes audio éducatifs pour faire patienter vos enfants jusqu’à Noël !,,https://podcast.ausha.co/contes-de-noel-2022,Français,,checked,https://podcast.ausha.co/contes-de-noel-2022,,https://feed.ausha.co/BQnL8IXZEZMk,,,,,,,,,,,"Apprentis d'Auteuil, Laura Demmerlé",,
Contes en liberté,liberté.png (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/eyzpC5Cbt-VAEk4sfnc0Mg/3MrrhAYbEs4KqTXoYEOUfxH3UXIHbIZTLX8FMpuEFkrnjuUuvTFHai0cUr8xl-UNPEa42qMDBjeUtxJVKXKfr64O92f1ou6z9U5ty5rQK2Lo3bUMRMRcvjzd7rMtrp5q4pNK-VUAnygFJk_vLrwjcw/zc_Lc2Xx_QmNQygCi8sp6FT42cBfkyWRQGbTMR9lFjw),En cours,Eve Laudenback,Enfant,,Non définie,"Bienvenue dans le large champ des possibles qu’explore Eve Laudenback en proposant différents jeux créatifs. Elle compose avec la créativité des plus jeunes, l’intégralité des histoires que vous découvrirez dans ce podcast.",,https://shows.acast.com/contes-en-liberte,Français,,,https://shows.acast.com/contes-en-liberte,,https://feeds.acast.com/public/shows/contes-en-liberte,,https://open.spotify.com/show/0UfozDv39QLcuj9qQ0UYwR,,,,,,,,,Eve Laudenback,,
Cosmose,cosmose.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/RBm86Xtec2zoIC-4FCfefw/Q8S6ye8ynPSPY27m-co0ct9DtpC6NGUl7GhdoxkvHLT0YoJDmY8pANwe3h_CDdlXhDfOeP51hjzo1rFAulWwAXr_y-PoYPCjLOyx3SiBjUrFJZz5IbrIGcj9uw6ajZGe1HAuvBbkKNdaLJXQGJEWqg/RM9haxPBSYzz1OkZVCGlFWzli4rFiW-ki59KIslwyJY),Terminé,SilverSon,"Science-Fiction,Post-apo",0:19,19 min,"2078 sur Terre, des mécha extraterrestres attaquent la Terre en combinant invasion armée et attaque psychique. Ils placent en effet leurs victimes dans une sorte de coma léthargique. Pour cette raison, les envahisseurs sont appelés « les mangeuses d'âmes ». 2088. Le lieutenant Tao Shiko est le sujet de test qui permettra - peut-être - de comprendre comment les mangeuses d'âmes comatisent leurs victimes, et surtout, comment riposter. ",5,https://cosmose.lepodcast.fr/,Français,,checked,https://silverson.chibi-nah.net/cosmose/,,,https://soundcloud.com/user-312998322/cosmose-une-fiction-sonore,,,,,,,3. Noté,,,SilverSon,,
Curriculum Futurae,futurae.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/aOsHdvrZMHgSbYCPivs8-A/uapumwQwaW8wnkeUmRTYGJgzMZOQ8B6bLfLEvbsKCh77BSRnulkeFebT4yFS8fwoTmGrYHKoeUcnEXPWK79_Q8JR7n_V_o6w-3LfS3HgSEer_tZ4PENqGMG7mnKOUgj8NNGYnHxwnSdEbh5Bbs22zQ/HaaryQZ5G_y7LDsuo_KlPBwXqKF_agnv7TmhKhig3TM),Terminé,Sebastian Dicenaire,"Science-Fiction,Documentaire",1:48,1 h 48 min,"Construit comme une enquête, Curriculum Futuræ nous projette dans le futur. Une auto-fiction documentaire au ton à la fois réaliste et décalé dont les 4 épisodes abordent divers scénarios du travail de demain. Ce podcast en 4 épisodes s’adresse à une génération à la fois friande de nouvelles applis, commandant parfois une pizza sur Uber ou des livres sur Amazon, mais consciente que quelque chose ne tourne pas rond au royaume de la consommation à coups de clics sur fond de GAFAM.",,https://podcasts.apple.com/be/podcast/curriculum-futurae/id1558706037,Français,,checked,,,,https://soundcloud.com/nosfuturs_net/sets/curriculum-futurae-autofiction,,,,,"TJP2022,TJP",,,,,Sebastian Dicenaire,,
Cycle,cycle.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/3rbbVUzzzAzcM5DxG7ssvw/Q-wCAz-yqoAWAc5mh8dli-OXu2MPNlEaok9qc8bV3Hn4EeG2frbcIfNvdPln9jvRBW5be2QviGILkIlq-RVGwaGyJLLNs9apOlg0vESrSisMbySaGJfMKI9xPLPsSO17hIGOWUphjyq-oQoIY0nLjQ/t6dP3Ouk13Qhs3bJfD82yZqat2gOe55setqBPTGUpBQ),Terminé,Grushkov,Science-Fiction,0:20,20 min,"Seuls sur une planète, une gynoïde et l'Intelligence Artificielle de Bord de son vaisseau-lab récoltent des données et les renvoient à Starhome, qui attend de pouvoir s'y installer.",5,https://2019.sagadelete.fr/saga/cycle,Français,,checked,https://2019.sagadelete.fr/saga/cycle,,,,,,Saga de l'été,,,,,,,Grushkov,,
Cyrano de Bergerac,cyrano.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/CLD4uMo0ShYgyITWfHmhCQ/69HfyrULEeyoWL_QYLQXY7FTac2sZHs5dug7ZT2rGKUAchq5JDEkn9at2BWALcEGK7CJipQytggZWo9u9BwvpNFo7ctg1hHQo8RFzqIjtZ6r4H3fHkhUo-Qds7vXPm4FHzvripNbZn0-LBRENiUT6w/SLU3UMXBUvmKnznZ5umJZrQI1M6FH5ym3fnvz3q671c),Terminé,"Leto75,Netophonix",Théâtre,2:38,2 h 38 min,"Adaptation de la pièce de Rostand avec le concours d'une trentaine d’acteurs du Netophonix et d'ailleurs. La saga comportera 5 épisodes, soit un par acte.",5,https://cyranodebergerac.lepodcast.fr/,Français,26/6/2021,checked,https://cyranodebergerac.lepodcast.fr/,https://www.youtube.com/watch?v=zlQZJ21K2SU,https://cyranodebergerac.lepodcast.fr/rss,,,checked,,,"TJP2021,TJP,Zeni1",,3. Noté,,,"Leto75, Netophonix",,
D-Day,d-day.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/2DwiLOq_f-HbttpYI31IrQ/nsBlONGO_eNxl8xxlbvEEo6mNfX7JKDaNE_K23hc2l44_-U4nmdnYOum8-RTdk6B8qBvpnKVKUceIU7OKD22HAA9f4P-zZ5Iwmk0mzWt2p_mUEJbLTCQx5HeingPYrW9RWpsxox_zYNwQLyJR7sSVQ/asmBrY3xN9xJt7zLlw0TuUUSxTN5vCmmvX-VinQ04jM),En cours,"Gartresk,Geek Forever Prod",Science-Fiction,0:35,35 min,"La société Synergy ayant implanté la base de recherche Eternity sur la planète mars, ne reçoit plus de nouvelle de leur structure depuis plus d'un an, suite à l'ouverture d'une faille dimensionnelle dirigée vers les enfers, libérant des démons ravageant toute la base. Cependant, un groupe de survivants tente encore de s'échapper d'Eternity encore infesté de monstres. Ils vont faire la rencontre d'une arme vivante qui s'est activée et qui a pour mission de fermer la faille vers le monde des enfers.",5,https://geekforeverprod.wixsite.com/geek-forever-prod/d-day,Français,,checked,https://geekforeverprod.wixsite.com/geek-forever-prod/d-day,,,,,,,,,,,,,"Gartresk, Geek Forever Prod",,
Dans l'attente à voix basse,DLAVB_Acteurs-300x300.png (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/t9McEeelDMFWFUcZb2rsHg/hk7bVoN0C5Cf5uHBn_BlpIGSCPvsNmSCSRl30nUmOI04-XwW7v2bYSOf5zOF5kp0uhGq2SDneBlVi-1Q9CCKAWIrL058YswmBmNCk_0SeoZGwMsc4NwwIqiMgWiLt0wazza6QVf9NA9P_42Gf6Up2NyjaCVAFefv-gGw5a8QT4w/zyfUmW4CvSJZRlWvkgJuZhy72Bgz8jpzAEuUdl0LSoc),Terminé,Oriog Créations,"Science-Fiction,Post-apo,Drame",0:15,15 min,"Une éruption solaire observable à l’œil nu. C’est une occasion en or que Saïd, Mahana et Lukas ne comptent pas rater. Un instant d’exception dans leurs vies banales d’étudiants.
Mais, alors que les évènements s’emballent, que la population s’affole, que faire mis à part attendre en silence ?",,http://oriogcreations.weeklymp3.fr//,Français,,,,,http://oriogcreations.weeklymp3.fr/nouvelle-sortie-et-information-propre-a-oriog/dans-lattente-a-voix-basse-2/,,,,,,,,,,,Oriog Créations,,
Dans l'ombre des légendes,legendes.jpeg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/zUUwrDK-2oh-hnudV0SCew/qRcVe0MBZVLeaFxeE8ABWtrzc7mC9k5DDUDxBGBZirmfG1hFaJMUz21XF10PWGjS53BY7CVO6DzYnj-AXuZCLzjZ4jJ2rYqY8LsepPdh9a0vmAbsgAN1YjOOxKFnavdlo1-_2O8jIoKp30l0uHMnwg/_4ZspSVHKfVe8HSz6oTA2HOY97O5FYZF5zzzMFDbDNw),En cours,charlie Bird Parker,Horreur,,Non définie,"Dans l’ombre des légendes est un podcast indépendant mélangeant des one shot d’horreur et des séries récurrentes, se passant toutes sur Paris et sa région aux travers des époques. Un tour de France et de ses légendes urbaines… Écrit et raconté par Chandleyr. À écouter à peu près partout. Dans le bus, métro ou sous votre couette.",,https://linktr.ee/chandleyr,Français,,checked,https://www.danslombredeslegendes.fr/,,https://feed.ausha.co/oLnxpsvVwV2g,,https://open.spotify.com/show/4rvwblKFDC8vp0Y0dNIKmu,,,,"TJP2021,TJP",,,,,charlie Bird Parker,,
Dans Le Noir,danslenoir.jpeg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/rdq33rKY0oktQF0Z8ne5eQ/e0S_N50TKgqx4CTrAiUO7sc-WJJHT7Fp6vuiZ7ld-KPRIcue0zred8A2Ob7oQYlfrNDhl-CpXSRiFoUSwylR_31bQtPOkPJgvBYNOscaauCdv71YYw_8a6TmDqJKOjtgi_FIUOr4o9Sl23LiQsWZig/DY7ZEs69bHbrolJnCKM5ZA23aLIVaTU7tQp8Tn0cEw0),En cours,Guillaume Loris,Horreur,,Non définie,"Dans Le Noir, c'est votre podcast horreur et paranormal qui vous glace le sang. Chaque samedi à 21 heures, découvrez une émission horrifique immersive sonore. Mon but est de vous effrayer, de vous faire vivre un véritable cauchemar à travers des histoires effrayantes et des témoignages paranormaux. Frissons, angoisse, stress & épouvante sont au rendez-vous.",,https://podcast.ausha.co/danslenoir,Français,,checked,https://podcast.ausha.co/danslenoir,https://www.youtube.com/channel/UCMrTeCwf78gihPKsYyXDepg,https://feed.ausha.co/owwXZSKwkXv5,https://soundcloud.com/lorisguillaume,https://open.spotify.com/show/65MrJ98qocJhq4qJLADnXz,,,,,,,,,Guillaume Loris,,
De guerre en fils,de-guerre-en-fils-serie.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/AL-Zg7PY2sisPzWAbENIXQ/TS4ImLJS3k2MC-XpTc5Moh83d6bNcSMREUdHkT07NSg_qrZ64ry7MkS56iL3VXhM_LzCLys_ZIUxDG8kIaW6uS851-I-x8nInCBGiJmdkPP35Kl-8nZCzfanLKPQZZ-6Tj_ORVhvqANuNCjPNwcGQIasu61fK9TP414nni0dtq0/0dj0B4U-C0CHK8Dwc-skfWWLsZQhszlkRhsEPj3GUCk),Terminé,"François Pérache,Sabine Zovighian","Historique,Policier,Documentaire",1:20,1 h 20 min,"Le 2 octobre 1961, en pleine guerre d'Algérie, le policier Georges Pérache est abattu à Paris par le FLN. Le 17 octobre, la police réprime une manifestation pacifique et tue près de deux cents Algériens. Le 13 novembre 2015, François Pérache, petit-fils du policier tué, veut aller manger un bobun au Petit Cambodge... À la fois enquête intime, fiction documentée et tragi-comédie, ""De guerre en fils"" joue du feuilleton radio pour ouvrir la boîte aux secrets. Ceux de l’Histoire comme ceux d’une famille.",,https://www.arteradio.com/serie/de_guerre_en_fils,Français,,checked,https://www.arteradio.com/serie/de_guerre_en_fils,,https://www.arteradio.com/xml_sound_serie?seriename=%22DE%20GUERRE%20EN%20FILS%22,,,,,,,,,,,"François Pérache, Sabine Zovighian",,
De l'autre côté de l'enfer,enfer.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/7ahz93r6Z0pQchGHSBrv0g/p-QGQjXQ-9zyRR87shj6OgmAi8u75xBhRGuaplq5O8RznH4kCAZpbcSQVnBNqYHSt_8q0y4efn3k6B2_FQP9Ow16YFenYH55H6kzhNijER9S3tX1Zr6FCdbYu5YoJImMi_pu6FSIPhVqROvr5I6K2A/QkLHMauzVFObR_dbj-3ODtDedcuB3x8JQh3qs3kUDNs),Terminé,"Noël Simsolo,France Culture",Policier,3:51,3 h 51 min,"Alain Zorsky est un agent retraité des services spéciaux de la République, une section parallèle de soldats sans uniformes délégués à des missions secrètes et parfois aux basses besognes sur l’hexagone et ailleurs. Marqué par la mort tragique de son épouse, Zorsky a quitté ses fonctions et boit plus que de raison, traînant son mal de vivre avec cynisme et désespoir. Mais lorsque certains de ses amis, des anciens collègues ou des politiciens, ont besoin de lui pour se tirer du pétrin, Zorsky ne sait jamais leur refuser son aide, même s’il retrouve chaque fois sur sa route Frédéric Rodiot, un commandant de police qui œuvre pour la suppression des services spéciaux au profit de négociateurs officiels et sans permis de tuer. Toutefois ces deux hommes savent s’allier si leur pays est menacé par des terroristes et des activistes en mal de dictature. Au cours de ces quatre enquêtes, Zorsky, confronté à son passé de tueur au service de l’État, risque à nouveau sa vie en fouillant les poubelles de la Ve République.",,https://www.radiofrance.fr/franceculture/podcasts/serie-de-l-autre-cote-de-l-enfer-de-noel-simsolo,Français,,checked,https://www.radiofrance.fr/franceculture/podcasts/serie-de-l-autre-cote-de-l-enfer-de-noel-simsolo,,,,,,,,,,,,,"Noël Simsolo, France Culture",,
De l'Autre Côté du Manoir,image.png (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/UGydVhoD0VaHe_370KakLw/Fm-wILadxuB9dOg7Ic2naL12W0yHvfTFEJax0sjIIxDodMYMbW03ZdQeG9r9xFfqvbIqr4WElwUXZ4j9oMrJ6dMPMRPS32z6tqEGUT9wd80WkKj141L5TSrWr6rc_iuzsyOUN9ESIjkSAm8KNvbdxw/4dSZew5D6vsu_nhKJnf6kMn8wKnM5Q5kQ2swn5D2zDg),Terminé,Lorendil,"Fantastique,Ambiance,Action",0:20,20 min,"Johan et Alex sont des vidéastes sur YouTube se filmant lors d'explorations en Urbex, ils décident d'aller explorer un vieux manoir. ",,https://lorendilmp3.jimdofree.com/s%C3%A9ries-audio/de-l-autre-c%C3%B4t%C3%A9-du-manoir/,Français,,checked,https://lorendilmp3.jimdofree.com/s%C3%A9ries-audio/de-l-autre-c%C3%B4t%C3%A9-du-manoir/,https://www.youtube.com/watch?v=0XywRH9HHpA,,,,,,,,,,,,Lorendil,,
De la buée sur Andromède VI,AndromedeVI.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/CzB1FRCgC7hcpTO1kgwHsQ/knDXmkr5-cZGJdXkd9NHdLMa4v47KIX-8Ava3bP8oQ5Zcj-s2CPnwGV5bFoeVN7b5uvsey4etyTM35rWa8Qe44H9xNx-zVeY7GXtkkmZaH6hLYNASqiIoQfm_eKNgkRgjlyat5gDR-_H67dEwTPc9w/VgRqmoeOA2ZJlBfV202-2NiAqqCBBzZC4rfBJUH4Cds),Terminé,"Anthony Touzalin,Antoine Rouaud,David Uystpruyst,Audiodramax",Science-Fiction,0:15,15 min,"Rien n’empêche jamais Jane d’amener les épaves de satellites et de vaisseaux spatiaux à la décharge. Pas même un champ d’astéroïdes. En revanche, tomber en panne d’essence au milieu des étoiles peut s’avérer dangereux…",,https://www.audiodramax.com/de-la-buee-sur-andromede-vi/,Français,5/3/2014,,https://www.audiodramax.com/de-la-buee-sur-andromede-vi/,,,,,,,,,,,,,"Anthony Touzalin, Antoine Rouaud, David Uystpruyst, Audiodramax",,
Death Pen,death-pen.jpg (https://v5.airtableusercontent.com/v3/u/29/29/1716739200000/-CDm5wGG7LB3GVdr2WHfvQ/xaHbNeSe8xb07wug5wu7oB5IuB-mcN-_w3ZpUF8OsC06er_g_R2bIsR0NbSKSeGNUFWPayJQ9TNs59u4A7-hBCxhVI_l8XCBp8uY6e6QPQHxDs99IXfeBxqGtaWgRJXXinYJxZ2FbSgvPsI4v9DPrg/vqKnVQJIWOoQdqtLl-zxM__VK4p1ezAjCuTUKcLtDiM),Terminé,Mace,"Parodie,Humour,Licence",3:32,3 h 32 min,"Raito, un jeune étudiant, ramasse un jour un Death Pen en pensant qu'il s'agit d'un stylo tout à fait normal. Il découvrira par la suite les étranges pouvoirs du stylo et commencera une chasse aux criminels...",5,https://maceprod.jimdofree.com/sagas-mp3/,Français,,checked,https://maceprod.jimdofree.com/sagas-mp3/,https://www.youtube.com/playlist?list=PL3F8AFAFC72400A75,,,,,,,,,1. À écouter,,,Mace,,
