Nom,Photo,Fiction,Notes,Status,Record ID,Record ID (from Fiction)
JBX,JBX.jpg (https://dl.airtable.com/.attachments/6c15772ec00d9728b772e792a6535a2b/d187bdc8/JBX.jpg),Reflets d'Acide,,,recYcLGUYLncst8W9,recPx8ThBxXUscgSU
Mathieu Quintin,quintin.jpg (https://dl.airtable.com/.attachments/898ea04d989fff4179b129602dd3cccf/0520c016/quintin.jpg),1287,,,rec2HdS11G1KtfHQX,recKxWyAx5t2DwJMH
Zylann,,1287,,,recZJoi3wQcsfqhrQ,recKxWyAx5t2DwJMH
Richoult,richoult.jpg (https://dl.airtable.com/.attachments/8953f338c6944db4071b51c7127ec7bd/0bf3ebf8/richoult.jpg),CA$HTING,,,recQSB7ALt7SdRnCN,recqECiYvbxwqNyi8
